trial_idx,world_name,planner,drl_model_name,goal_x,goal_y,straight_line_distance,success,failure_reason,distance_traveled_odom,distance_traveled_planner,distance_diff_percent,travel_time,final_distance_to_goal,timeseries_log_path,timestamp
0,world_1,APF,,0.0,0.5,0.5,True,,0.907,0.896,1.179,4.263,0.197,trial_results/timeseries/world_1_APF_trial000.json,2026-08-26T16:11:00.352710
1,world_1,APF,,0.0,1.0,1.0,True,,2.65,2.644,0.191,12.399,0.199,trial_results/timeseries/world_1_APF_trial001.json,2026-08-26T16:11:16.612293
2,world_1,APF,,0.0,1.5,1.5,True,,3.974,3.963,0.273,12.908,0.196,trial_results/timeseries/world_1_APF_trial002.json,2026-08-26T16:11:34.346914
3,world_1,APF,,0.0,2.0,2.0,True,,3.039,3.029,0.352,8.062,0.197,trial_results/timeseries/world_1_APF_trial003.json,2026-08-26T16:11:46.079840
4,world_1,APF,,0.0,2.5,2.5,True,,3.422,3.411,0.309,8.863,0.2,trial_results/timeseries/world_1_APF_trial004.json,2026-08-26T16:11:58.805583
5,world_1,APF,,0.0,4.0,4.0,True,,5.669,5.658,0.194,15.273,0.197,trial_results/timeseries/world_1_APF_trial005.json,2026-08-26T16:12:18.747693
6,world_1,APF,,0.0,5.5,5.5,True,,9.006,8.995,0.12,24.656,0.193,trial_results/timeseries/world_1_APF_trial006.json,2026-08-26T16:12:48.071570
7,world_1,APF,,0.0,6.0,6.0,True,,7.571,7.561,0.142,18.467,0.194,trial_results/timeseries/world_1_APF_trial007.json,2026-08-26T16:13:10.419775
8,world_1,APF,,0.5,0.5,0.707,True,,0.853,0.842,1.265,4.322,0.199,trial_results/timeseries/world_1_APF_trial008.json,2026-08-26T16:13:18.461368
9,world_1,APF,,0.5,1.5,1.581,True,,4.613,4.602,0.239,14.004,0.194,trial_results/timeseries/world_1_APF_trial009.json,2026-08-26T16:13:37.130433
10,world_1,APF,,0.5,2.0,2.062,True,,3.55,3.539,0.309,8.884,0.193,trial_results/timeseries/world_1_APF_trial010.json,2026-08-26T16:13:50.684019
11,world_1,APF,,0.5,2.5,2.55,True,,3.764,3.753,0.29,9.306,0.195,trial_results/timeseries/world_1_APF_trial011.json,2026-08-26T16:14:03.653026
12,world_1,APF,,0.5,3.0,3.041,False,Goal timeout after 60.0s.,10.548,10.546,0.022,60.013,0.415,trial_results/timeseries/world_1_APF_trial012.json,2026-08-26T16:15:08.586148
13,world_1,APF,,0.5,3.5,3.536,True,,9.73,9.719,0.114,37.929,0.2,trial_results/timeseries/world_1_APF_trial013.json,2026-08-26T16:15:51.421235
