trial_idx,world_name,planner,drl_model_name,goal_x,goal_y,straight_line_distance,success,failure_reason,distance_traveled_odom,distance_traveled_planner,distance_diff_percent,travel_time,final_distance_to_goal,timeseries_log_path,timestamp
0,world_1,DRL,TD3_00400_700,0.0,0.5,0.5,True,,0.534,0.528,1.134,2.856,0.198,trial_results/timeseries/world_1_TD3_00400_700_trial000.json,2026-09-09T15:41:49.887945
1,world_1,DRL,TD3_00400_700,0.0,1.0,1.0,True,,0.961,0.95,1.119,3.398,0.195,trial_results/timeseries/world_1_TD3_00400_700_trial001.json,2026-09-09T15:41:57.564278
2,world_1,DRL,TD3_00400_700,0.0,1.5,1.5,True,,1.523,1.513,0.707,4.442,0.195,trial_results/timeseries/world_1_TD3_00400_700_trial002.json,2026-09-09T15:42:06.516346
3,world_1,DRL,TD3_00400_700,0.0,2.0,2.0,True,,2.052,2.041,0.524,5.448,0.196,trial_results/timeseries/world_1_TD3_00400_700_trial003.json,2026-09-09T15:42:17.237403
4,world_1,DRL,TD3_00400_700,0.0,2.5,2.5,True,,2.613,2.603,0.412,6.753,0.193,trial_results/timeseries/world_1_TD3_00400_700_trial004.json,2026-09-09T15:42:28.346060
5,world_1,DRL,TD3_00400_700,0.0,4.0,4.0,True,,5.579,5.568,0.195,12.588,0.199,trial_results/timeseries/world_1_TD3_00400_700_trial005.json,2026-09-09T15:42:45.503461
6,world_1,DRL,TD3_00400_700,0.0,5.5,5.5,True,,7.498,7.487,0.142,15.056,0.197,trial_results/timeseries/world_1_TD3_00400_700_trial006.json,2026-09-09T15:43:05.122637
7,world_1,DRL,TD3_00400_700,0.0,6.0,6.0,True,,7.569,7.559,0.142,14.453,0.192,trial_results/timeseries/world_1_TD3_00400_700_trial007.json,2026-09-09T15:43:23.842844
8,world_1,DRL,TD3_00400_700,0.5,0.5,0.707,True,,0.61,0.604,1.056,1.772,0.196,trial_results/timeseries/world_1_TD3_00400_700_trial008.json,2026-09-09T15:43:29.887181
9,world_1,DRL,TD3_00400_700,0.5,1.5,1.581,True,,4.213,4.206,0.164,15.133,0.198,trial_results/timeseries/world_1_TD3_00400_700_trial009.json,2026-09-09T15:43:49.575264
10,world_1,DRL,TD3_00400_700,0.5,2.0,2.062,True,,3.972,3.951,0.542,11.436,0.184,trial_results/timeseries/world_1_TD3_00400_700_trial010.json,2026-09-09T15:44:05.584385
11,world_1,DRL,TD3_00400_700,0.5,2.5,2.55,True,,4.169,4.158,0.259,11.74,0.198,trial_results/timeseries/world_1_TD3_00400_700_trial011.json,2026-09-09T15:44:21.187908
